	reco_1	reco_2	reco_3	reco_4	reco_5	MSE_1	MSE_2	MSE_3	MSE_4	MSE_5	nb1	nb2	nb3	nb4	nb5	id	titre
32	46.0	42.0	31.0	37.0	30.0	135.26918779972007	186.52774848892125	148.0	217.0164581870695	143.97225151107875	31.0	36.0	33.0	33.0	30.0	32	Astérix, tome 14 : Astérix en Hispanie
33	31.0	15.0	42.0	55.0	46.0	167.27607565307483	166.97392434692517	108.72392434692516	148.13470275964977	173.99311214664525	30.0	39.0	32.0	35.0	37.0	33	Astérix, tome 15 : La Zizanie
34	5817.0	1141.0	4879.0	10487.0	1529.0	0.0	11.25	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	34	Astérix, tome 10 : Astérix légionnaire
35	2493.0	9312.0	4948.0	3357.0	9893.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35	Astérix, tome 13 : Astérix et le chaudron
36	1931.0	6686.0	10530.0	284.0	867.0	0.0	0.0	0.0	8.75	97.75	0.0	0.0	0.0	2.0	7.0	36	Astérix, tome 31 : Astérix et Latraviata
37	15.0	55.0	30.0	31.0	42.0	226.75	160.4553892063623	109.75	151.25	151.25	34.0	33.0	26.0	26.0	28.0	37	Astérix, tome 18 : Les Lauriers de César
38	5855.0	3866.0	9651.0	6066.0	9842.0	4.25	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	38	Astérix, tome 22 : La Grande Traversée
39	2630.0	2493.0	35.0	360.0	9893.0	0.0	0.0	129.93688537186344	102.1262292562731	0.0	0.0	1.0	32.0	19.0	0.0	39	Astérix, tome 9 : Astérix et les Normands
40	55.0	37.0	15.0	30.0	42.0	184.9553892063623	120.75	172.9725064751229	158.5	178.25	33.0	28.0	33.0	28.0	33.0	40	Astérix, tome 21 : Le cadeau de César
41	50.0	53.0	56.0	2343.0	13.0	127.71001799792428	100.38244181354308	64.93143531198704	34.75	177.75	27.0	26.0	20.0	3.0	25.0	41	Astérix, tome 26 : L'odyssée d'Astérix
42	15.0	37.0	31.0	30.0	55.0	239.9492029961435	151.25	188.75020923075877	123.75	195.9107784127246	41.0	28.0	54.0	27.0	37.0	42	Astérix, tome 3 : Astérix et les Goths
43	9871.0	9731.0	27.0	9984.0	6686.0	0.0	0.0	143.6896216226702	0.0	0.0	0.0	0.0	26.0	0.0	0.0	43	Astérix, tome 23 : Obélix et Compagnie
44	5123.0	7575.0	2133.0	6566.0	3415.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	44	Astérix, tome 30 :  La Galère d'Obélix 
45	10661.0	1752.0	1568.0	4785.0	570.0	0.0	23.663841834317264	0.0	8.0	21.63454504304844	0.0	4.0	0.0	1.0	3.0	45	Astérix, tome 12 : Astérix aux jeux Olympiques
46	15.0	31.0	37.0	55.0	42.0	187.18001519642343	187.23081220027996	127.5	128.7053892063623	179.01918779972007	42.0	38.0	26.0	34.0	41.0	46	Astérix, tome 11 : Le Bouclier arverne
47	128.0	182.0	185.0	47.0	4818.0	18.29692596334157	9.36155293847122	17.95042779246442	0.0	0.0	5.0	3.0	6.0	10.0	0.0	47	XIII, Tome 1 : Le jour du soleil noir
48	8608.0	2464.0	2809.0	2759.0	7774.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	48	Astérix, tome 33 : Le ciel lui tombe sur la tête
49	179.0	9861.0	7353.0	1030.0	5456.0	97.6340384188074	0.0	0.0	7.0	3.75	43.0	0.0	0.0	1.0	1.0	49	Le Combat ordinaire, Tome 1
50	53.0	41.0	56.0	2343.0	13.0	168.3275761843812	127.71001799792428	89.68143531198704	32.5	183.25	29.0	27.0	21.0	3.0	24.0	50	Astérix, tome 25 : Le Grand Fossé
51	96.0	124.0	163.0	8444.0	1729.0	47.25	104.33700821306026	40.5	28.75	0.5131508396707467	28.0	22.0	21.0	2.0	1.0	51	Largo Winch, Tome 1 : L'héritier
52	7114.0	6715.0	11129.0	8154.0	5324.0	0.0	3.25	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	52	Adèle Blanc-Sec, tome 2 : Le démon de la Tour Eiffel
53	53.0	41.0	56.0	2343.0	13.0	0.0	100.38244181354308	101.81387712553013	37.0	218.88244181354307	52.0	26.0	25.0	3.0	24.0	53	Astérix, tome 27 : Le Fils d'Astérix
54	7427.0	4597.0	1593.0	2704.0	8862.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	54	Astérix, tome 16 : Astérix chez les Helvètes
55	37.0	15.0	31.0	42.0	30.0	160.4553892063623	153.9553892063623	200.75	195.9107784127246	135.2053892063623	33.0	37.0	34.0	37.0	28.0	55	Astérix, tome 17 : Le Domaine des dieux
56	41.0	50.0	53.0	2343.0	13.0	64.93143531198704	89.68143531198704	101.81387712553013	21.75	153.75	20.0	21.0	25.0	3.0	23.0	56	Astérix, tome 28 : Astérix chez Rahâzade
57	2856.0	9528.0	8294.0	6543.0	3509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57	Blacksad, tome 2 : Arctic-Nation
58	8897.0	7014.0	7176.0	9698.0	1740.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58	Adèle Blanc-Sec, tome 1 : Adèle et la bête
59	6325.0	28.0	10786.0	9382.0	8400.0	0.0	185.5	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	59	Astérix, tome 29 : La Rose et le Glaive
60	1137.0	1793.0	1169.0	64.0	8471.0	0.0	0.0	9.0	10.75	0.0	0.0	0.0	1.0	9.0	0.0	60	Gaston, tome 7 : Un gaffeur sachant gaffer
61	10481.0	111.0	7205.0	3271.0	84.0	0.0	47.52485159903175	0.0	0.0	35.75	0.0	8.0	0.0	0.0	7.0	61	Gaston, tome 5 : Le bureau des gaffes en gros
62	4387.0	582.0	8591.0	10045.0	10771.0	0.0	21.75	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	62	Les Passagers du vent , Tome 1 : La fille sous la dunette
63	5654.0	10551.0	6891.0	11175.0	9388.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	63	Blacksad, tome 3 : Âme rouge
64	1169.0	1137.0	1793.0	60.0	8471.0	9.0	0.0	0.0	10.75	0.0	1.0	0.0	0.0	9.0	0.0	64	Gaston, Tome 13 : Lagaffe mérite des baffes : Edition limitée
65	8124.0	6524.0	3976.0	7359.0	6363.0	15.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	1.0	65	Le retour à la terre, Tome 1 : La Vraie Vie
66	5347.0	307.0	7439.0	4891.0	631.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	1.0	1.0	66	Le Cycle de Cyann, tome 1 : La sOurce et la sOnde
67	4518.0	11257.0	4368.0	5622.0	5275.0	7.0	0.0	17.143664293735323	2.4524281660884606	16.612508545770705	1.0	0.0	2.0	1.0	2.0	67	L'Arabe du futur, tome 1
68	3103.0	969.0	3945.0	400.0	610.0	0.0	12.0	0.0	164.2481409516012	67.5	0.0	5.0	0.0	34.0	10.0	68	Le Chat du Rabbin, tome 1 : La Bar-Mitsva
69	4318.0	6516.0	5913.0	10408.0	5527.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69	Lucky Luke, tome 4 : Jesse James
70	93.0	4433.0	954.0	1546.0	2374.0	29.020973715508283	0.0	9.0	7.0	7.0	10.0	0.0	1.0	1.0	1.0	70	XIII, Tome 2 : Là où va l'Indien...
71	4861.0	9050.0	1210.0	11001.0	9848.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71	Lucky Luke, tome 11 : Ma Dalton
72	9396.0	6869.0	6601.0	2974.0	6830.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72	Astérix, tome 36 : Le Papyrus de César
73	5782.0	6225.0	3565.0	9181.0	6045.0	30.25	0.0	0.0	0.0	25.0	4.0	0.0	0.0	0.0	2.0	73	Les Aventures de Tintin, tome 1 : Tintin au pays des Soviets
74	393.0	402.0	403.0	4135.0	3845.0	60.0	30.0	30.75	0.0	0.0	5.0	3.0	4.0	0.0	0.0	74	Titeuf, tome 4 : C'est pô juste...
75	113.0	155.0	165.0	261.0	298.0	90.5	70.0	93.90489674244392	72.25	73.75	27.0	17.0	20.0	13.0	13.0	75	Lanfeust de Troy, tome 1 : L'ivoire du Magohamoth
76	455.0	380.0	1682.0	3266.0	4281.0	3.25	0.4359003657992257	3.25	0.0	0.0	3.0	3.0	3.0	0.0	0.0	76	Lanfeust des Étoiles, Tome 1 : Un, deux... Troy
77	168.0	371.0	429.0	585.0	7898.0	4.75	7.0	7.0	2.149334322455545	0.0	3.0	3.0	2.0	2.0	0.0	77	Le Petit Spirou, tome 1 : Dis bonjour à la dame !
78	107.0	161.0	286.0	301.0	78.0	9.0	39.75	11.873852298872386	11.25	0.0	4.0	8.0	6.0	6.0	14.0	78	Gaston, tome 14 : La saga des gaffes
79	9530.0	8673.0	1309.0	8650.0	9733.0	18.0	0.0	0.0	16.0	7.0	2.0	0.0	0.0	2.0	2.0	79	Blake et Mortimer, tome 6 : La marque jaune
80	107.0	161.0	286.0	301.0	78.0	21.75	0.0	29.12614770112761	17.5	30.75	3.0	5.0	6.0	4.0	5.0	80	Gaston, tome 12 : Le gang des gaffeurs
81	6680.0	8547.0	6750.0	3985.0	5211.0	0.0	0.0	0.0	16.25	12.0	0.0	0.0	0.0	2.0	1.0	81	La Quête de l'oiseau du temps, tome 1 : La conque de Ramor
82	4331.0	11130.0	8985.0	10434.0	8882.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	82	Magasin général, Tome 1 : Marie
83	90.0	118.0	138.0	202.0	264.0	42.0	35.75	39.0	23.5	6.75	8.0	5.0	3.0	3.0	1.0	83	Lucky Luke, tome 8 : Chasseur de primes
84	7938.0	5474.0	7191.0	1605.0	7898.0	19.25	4.25	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	84	Gaston, Tome 8 : Lagaffe nous gâte
85	15.0	42.0	31.0	30.0	55.0	117.65922888322478	91.5	110.7162661811021	69.9325323622042	95.9325323622042	16.0	17.0	16.0	14.0	13.0	85	Astérix, tome 32 : Astérix et la rentrée gauloise
